Global Rank,Stars,Username,Country,Country Rank,Rating,Highest Rating,Fully Solved,Partially Solved,Last Contest,Institute
2031,5,amanrobotics,India,10120,2110,2270,691,80,20200720 000000,Kalyani Government Engineering College
2031,5,saurav1234321,India,10120,2110,2110,50,6,20200817 150000,Indian Institute of Technology Kharagpur
2031,5,abhi922,United States,670,2110,2110,67,5,20171211 150000,Morgan Stanley
2031,5,shivam077,India,10120,2110,2110,119,15,20181020 150000,Netaji Subhas University Of Technology
2031,5,josesoto,Mexico,80,2110,2110,90,8,20200427 233000,Universidad de Guanajuato
2031,5,nestedcode,India,10120,2110,2110,95,12,20200713 150000,Indian Institute of Information TechnologyAllahabad
2031,5,rishabhnew,India,10120,2110,2110,25,8,20200622 000000,Visvesvaraya National Institute of TechnologyNagpur
2055,5,aminulhaq,Bangladesh,450,2109,2168,77,5,20180312 150000,North South University
2055,5,iitpsr,India,10310,2109,2109,45,8,20170313 150000,Indian Institute of Technology Delhi
2055,5,gonglinyuan,China,1070,2109,2239,84,3,20170219 150000,Peking University
2055,5,kaizer,Ukraine,410,2109,2301,132,10,20150726 141500,Taras Shevchenko National University of Kyiv
2055,5,ankdas1996,India,10310,2109,2185,206,26,20171023 000000,Indian Statistical InstituteKolkata
2055,5,ishu05,India,10310,2109,2109,207,13,20170717 150000,Delhi Technological University
2055,5,tejas01101001,India,10310,2109,2133,132,14,20200720 000000,Indian Institute of Technology Guwahati
2055,5,scopeinfinity,India,10310,2109,2251,199,28,20200817 150000,Indian Institute of Technology Patna
2055,5,prnjlrai,India,10310,2109,2109,332,39,20181027 223000,Birla Institute of Technology Mesra
2055,5,yukimai,United States,690,2109,2109,55,5,20180514 150000,
2055,5,subhashsuman01,India,10310,2109,2109,62,6,20200125 223000,Indian Institute of Technology Mandi
2055,5,dot0,Bangladesh,450,2109,2109,78,6,20200817 150000,Shahjalal University of Science  Technology
2055,5,prakhar1,India,10310,2109,2109,81,5,20190831 230000,Indian Institute of Technology Roorkee
2055,5,aaditya12,India,10310,2109,2109,228,7,20200713 150000,Indian Institute of Information TechnologyAllahabad
2070,5,arc9693,India,10400,2108,2108,140,14,20190617 150000,National Institute of TechnologyDurgapur
2070,5,xodiac,India,10400,2108,2229,247,30,20190520 000000,The LNM Institute of Information TechnologyJaipur
2070,5,rohitkv77,India,10400,2108,2177,594,80,20200829 223000,ABV  Indian Institute of Information Technology and Management Gwalior
2070,5,bishalg,Nepal,10,2108,2212,59,9,20171230 223000,Careem
2070,5,kkb10,India,10400,2108,2108,167,22,20200713 150000,KLE Technological UniversityVidya NagarHubballiKarnataka
2070,5,jayeshasawa001,India,10400,2108,2108,85,12,20200217 150000,Pune Institute of Computer Technology
2070,5,sparshkedia,India,10400,2108,2108,128,25,20190812 150000,National Institute of TechnologyDurgapur
2070,5,contesant,Turkey,40,2108,2341,252,16,20160315 150000,Bilkent University
2070,5,sanketmarkan,India,10400,2108,2256,145,11,20200511 150000,International Institute of Information TechnologyHyderabad
2070,5,rranjan1,India,10400,2108,2108,40,3,20190227 000000,Motilal Nehru National Institute of Technology Allahabad
2070,5,harshakunchala,India,10400,2108,2108,27,5,20200817 150000,VNR Vignana Jyothi Institute of Engineering and Technology
2083,5,myk00l,Italy,50,2107,2107,30,2,20180423 000000,IIS F Alberghetti
2083,5,ankitakr,India,10490,2107,2107,245,13,20200413 173000,National Institute of TechnologyKurukshetra
2083,5,hrshpanwar,India,10490,2107,2262,227,23,20200829 223000,Indian Institute of Technology Delhi
2083,5,aktl,Kazakhstan,180,2107,2324,241,34,20200525 000000,Almaty Kazakh  Turkish High School
2083,5,thunderblade,India,10490,2107,2107,167,22,20180317 020000,Indian Institute of Information TechnologyAllahabad
2083,5,venkycodes,India,10490,2107,2154,96,16,20200824 001500,Indian Institute of TechnologyJodhpur
2083,5,ezio26,Bangladesh,470,2107,2107,86,7,20190916 150000,Bangladesh University of Engineering and Technology
2083,5,stiffsubset,Russia,850,2107,2107,50,0,20200716 001500,
2083,5,ayush1101,India,10490,2107,2107,132,8,20200413 173000,Birla Institute of Technology Mesra
2083,5,vedhant,India,10490,2107,2107,53,6,20200829 223000,National Institute of Technology Tiruchirappalli
2093,5,mdhivagar18,India,10550,2106,2130,119,12,20200824 001500,Jaypee University of Engineering and TechnologyGuna
2093,5,me17b016,India,10550,2106,2111,452,30,20200217 150000,Indian Institute of TechnologyTirupati
2093,5,shefin,Bangladesh,480,2106,2106,87,4,20200829 223000,Rajshahi University of Engineering  Technology
2093,5,raj1238,India,10550,2106,2168,156,22,20200511 150000,School of Engineering and Applied Science SEASAhmedabad University
2093,5,kaihiwatari007,India,10550,2106,2125,139,22,20200817 150000,Indian Institute of Engineering Science and TechnologyShibpur
2093,5,rrnguyen,Vietnam,420,2106,2159,40,6,20151214 150000,National University of Singapore
2093,5,garv07,India,10550,2106,2257,412,25,20151012 150000,Google
2093,5,rajesh3579,Singapore,60,2106,2231,152,9,20151019 000000,Works Applications Singapore
2093,5,lapmid258,India,10550,2106,2106,261,20,20191111 150000,Maharaja Agrasen Institute of TechnologyNew Delhi
2093,5,pharry,India,10550,2106,2106,139,6,20200323 000000,Institute of Engineering and TechnologyLucknow
2103,5,sut99pal,India,10620,2105,2105,121,6,20200511 150000,Indian Institute of Technology Dhanbad
2103,5,shahraaz,India,10620,2105,2105,137,7,20190213 150000,National Institute of TechnologyCalicut
2103,5,gladiator121,India,10620,2105,2105,38,8,20200713 150000,Netaji Subhas University Of Technology
2103,5,nachiketkanore,India,10620,2105,2105,165,12,20200713 150000,Pune Institute of Computer Technology
2103,5,diguj,India,10620,2105,2166,107,11,20200525 000000,National Institute of TechnologyHamirpur
2103,5,uday170030900,India,10620,2105,2105,158,12,20200113 150000,K L University
2103,5,rczlux,India,10620,2105,2105,41,7,20200725 223000,Indian Institute of Technology Guwahati
2103,5,sanjaythiru,India,10620,2105,2141,284,35,20200817 150000,Sri Sivasubramaniya Nadar College of EngineeringChennai
2103,5,mrcoder95,India,10620,2105,2105,69,5,20160713 150000,Birla Institute of Technology and Science
2103,5,ivand10,India,10620,2105,2166,137,21,20200829 223000,Indian Institute of Technology Bhilai
2103,5,sanatkumar,India,10620,2105,2105,164,6,20200530 223000,Motilal Nehru National Institute of Technology Allahabad
2103,5,nitingarg1000,India,10620,2105,2129,125,6,20200725 223000,Indian Institute of Technology Kanpur
2103,5,ayushkmr,India,10620,2105,2105,162,25,20170930 223000,Indian Institute of Technology Dhanbad
2117,5,himanshum,India,10750,2104,2135,234,31,20161121 000000,HackerEarth
2117,5,itachi,India,10750,2104,2104,34,8,20200817 150000,VNR Vignana Jyothi Institute of Engineering and Technology
2117,5,bluespex,India,10750,2104,2104,35,9,20200713 150000,Delhi Technological University
2117,5,leoamish300,India,10750,2104,2104,73,3,20180418 201900,National Institute of Technology Patna
2117,5,mariand,Germany,120,2104,2104,22,1,20190624 000000,Saarland UniversitySaarbr
2117,5,milisav,Serbia,120,2104,2104,15,1,20200829 223000,
2117,5,prakash1108,India,10750,2104,2119,65,9,20200413 173000,Jamia Millia Islamia
2117,5,rivalq,India,10750,2104,2104,29,1,20200725 223000,Indian Institute of Technology BHU
2117,5,raj170533,India,10750,2104,2104,32,4,20190114 150000,Indian Institute of Technology Kanpur
2117,5,ssaxena36,India,10750,2104,2104,238,30,20170911 150000,Kamla Nehru Institute of Technology
2117,5,snehal007,India,10750,2104,2104,89,4,20200829 223000,Indian Institute of Technology Kharagpur
2117,5,geckods,India,10750,2104,2196,93,8,20200824 001500,Birla Institute of Technology and Science
2117,5,dragonsan17,India,10750,2104,2159,89,15,20200413 173000,Indian Institute of Technology Delhi
2117,5,sushant05,India,10750,2104,2104,100,18,20200615 150000,Indraprastha Institute of Information TechnologyDelhi
2117,5,newbie314159,China,1080,2104,2104,43,1,20200615 150000,
2117,5,mohitf,India,10750,2104,2104,122,9,20160919 000000,Indian Institute of Technology Roorkee
2117,5,alphatrance,India,10750,2104,2104,102,11,20200829 223000,Indian Institute of Technology Kanpur
2135,5,dhawalupadhyay,India,10890,2103,2125,98,4,20160725 000000,Indian Institute of Technology Kanpur
2135,5,anashacken,India,10890,2103,2103,94,17,20180813 150000,Dwarkadas Jivanlal Sanghvi College of Engineering
2135,5,iloveislam,Syria,20,2103,2392,41,5,20200615 150000,Damascus UniversitySyria
2135,5,amand26,India,10890,2103,2117,114,26,20181112 150000,Maharaja Agrasen Institute of TechnologyNew Delhi
2135,5,ks3rr,India,10890,2103,2128,399,15,20200615 150000,JSS Academy of Technical EducationNoida
2135,5,manu4rhyme,India,10890,2103,2243,440,32,20180405 020000,Indian Institute of Technology BHU
2135,5,lynstery,China,1090,2103,2103,26,1,20181218 010000,China Zhejiang Quzhou No2 High School
2135,5,alias2,India,10890,2103,2103,52,4,20190722 000000,
2144,5,amitkr101,India,10950,2102,2102,52,3,20200511 150000,McAfee
2144,5,Shreymanik,India,10950,2102,2102,144,11,20161212 150000,Delhi Technological University
2144,5,xynkt99,India,10950,2102,2102,170,12,20190916 150000,Indian Institute of Technology Dhanbad
2144,5,gaurav5364,India,10950,2102,2102,158,17,20200720 000000,Indian Institute of Technology Bombay
2144,5,raunaqroxx,India,10950,2102,2102,175,19,20200323 000000,Netaji Subhas University Of Technology
2144,5,vkpandey98,India,10950,2102,2123,333,28,20200323 000000,Google
2144,5,nikhil19,India,10950,2102,2225,73,1,20150518 150000,International Institute of Information TechnologyHyderabad
2144,5,shubh321,India,10950,2102,2102,89,15,20191014 150000,Indian Institute of Technology Madras
2144,5,j1k77,India,10950,2102,2102,123,14,20160827 223000,Birla Institute of Technology and Science
2144,5,apoorv17,India,10950,2102,2102,140,8,20200413 173000,Indian Institute of Information TechnologyKota
2144,5,smokemother,Italy,60,2102,2102,45,5,20151214 150000,Liceo Scientifico
2144,5,palmptsj,Thailand,70,2102,2102,51,3,20171211 150000,Chulalongkorn University
2156,5,underrated,India,11050,2101,2101,42,3,20200226 000000,Delhi Technological University
2156,5,arsenal14,India,11050,2101,2101,58,11,20180212 150000,Indian Institute of Technology Guwahati
2156,5,satyacse,India,11050,2101,2101,100,14,20200530 223000,Indian Institute of Technology Bombay
2156,5,dextr,India,11050,2101,2101,41,5,20180212 150000,National Institute of Technology Jamshedpur
2156,5,random1993,India,11050,2101,2169,48,2,20200530 223000,
2156,5,zxqfl,Canada,210,2101,2250,32,2,20150615 150000,University of Waterloo
2156,5,amirno2020,Iran,200,2101,2101,21,0,20180929 223000,Sharif University of Technology
2156,5,tejabhai,India,11050,2101,2101,89,3,20191014 150000,Indian Institute of Technology BHU
2156,5,sp001,India,11050,2101,2305,129,8,20190427 223000,International Institute of Information TechnologyHyderabad
2167,5,rohit659,India,11120,2100,2173,183,15,20190416 000000,Indian Institute of Information TechnologyAllahabad
2167,5,kapillamba4,India,11120,2100,2142,111,4,20190114 200000,University School of InformationCommunication and Technology
2167,5,shloksingh10,India,11120,2100,2100,136,8,20170518 150000,Birla Institute of Technology Mesra
2167,5,zaphodr,Canada,220,2100,2126,75,24,20170313 150000,Retired
2167,5,priyesh123,India,11120,2100,2100,351,41,20180417 150000,Jaypee Institute of Information Technology
2167,5,kapilks,India,11120,2100,2100,92,8,20170219 150000,Indian Institute of Technology Roorkee
2174,5,newton5,India,11170,2099,2099,71,17,20180212 150000,Govind Ballabh Pant Engineering CollegePauri Garhwal
2174,5,denominator,India,11170,2099,2099,14,3,20200829 223000,Indian Institute of Technology BHU
2174,5,januzaj497,Hungary,180,2099,2099,29,1,20190916 150000,E
2174,5,kostka,Canada,230,2099,2115,101,12,20170821 000000,University of Wroc
2174,5,mexmans,Kazakhstan,190,2099,2427,233,2,20160523 000000,Google
2174,5,stevens,India,11170,2099,2150,145,28,20191223 003000,Indian Institute of Technology Indore
2174,5,rohit25697,India,11170,2099,2184,171,24,20190325 000000,Netaji Subhas University Of Technology
2174,5,karry26,India,11170,2099,2099,166,20,20200829 223000,Indian Institute of Technology Mandi
2174,5,harshitnarula,India,11170,2099,2283,329,36,20200817 150000,University School of InformationCommunication and Technology
2174,5,vaibhav5386,India,11170,2099,2145,62,7,20200720 000000,Indian Institute of Technology Patna
2174,5,dbh,Hong Kong SAR,50,2099,2099,21,1,20190812 150000,
2174,5,giorgikob,Georgia,70,2099,2162,37,10,20200713 150000,V Komarovi N199 Public School
2174,5,arjun20398,India,11170,2099,2141,195,19,20200627 223000,Indian Institute of Information TechnologyDesign and ManufacturingJabalpur
2174,5,jaya8896,India,11170,2099,2159,152,22,20160919 000000,National Institute of TechnologyCalicut
2174,5,gccode,India,11170,2099,2220,142,24,20160516 150000,crediWatch
2189,5,rohit1402,India,11270,2098,2098,23,5,20200817 150000,The LNM Institute of Information TechnologyJaipur
2189,5,nky007,India,11270,2098,2215,475,39,20181229 223000,National Institute of TechnologyDurgapur
2189,5,lutyj,Russia,860,2098,2444,464,4,20200413 173000,
2189,5,trsriram,India,11270,2098,2098,107,8,20151019 000000,Indian Institute of Technology Madras
2189,5,puneetrai04,India,11270,2098,2316,261,54,20200427 233000,Birla Institute of Technology Mesra
2189,5,priyansh19077,India,11270,2098,2098,156,18,20200829 223000,Indraprastha Institute of Information TechnologyDelhi
2189,5,johntitor,India,11270,2098,2098,85,9,20180219 000000,Birla Institute of Technology and Science
2189,5,darthvader1,India,11270,2098,2098,100,4,20200716 001500,Delhi Technological University
2189,5,umeshkumawat,India,11270,2098,2098,41,6,20190114 150000,Malaviya National Institute of TechnologyJaipur
2189,5,gurshaan,India,11270,2098,2098,53,6,20200525 000000,Netaji Subhas University Of Technology
2189,5,sanskar123,India,11270,2098,2302,432,41,20200829 223000,Indian Institute of Technology Mandi
2201,5,abcdejh,India,11380,2097,2098,248,11,20200829 223000,Indian Institute of Technology Guwahati
2201,5,wahid2k14,Bangladesh,490,2097,2097,51,4,20191014 150000,Khulna University of Engineering  Technology
2201,5,modinitin13,India,11380,2097,2097,67,9,20200829 223000,Indian Institute of Technology Dhanbad
2201,5,tds115,India,11380,2097,2097,110,14,20200413 173000,The LNM Institute of Information TechnologyJaipur
2201,5,robbinb1993,Netherlands,50,2097,2097,61,2,20190715 150000,Open University in the Netherlands
2201,5,vivek1007,India,11380,2097,2097,104,15,20170624 223000,Delhi Public SchoolDwarka
2201,5,rcsldav2017,India,11380,2097,2097,603,67,20170612 150000,Software Company
2201,5,szazry,Poland,300,2097,2097,20,0,20181218 010000,University of Warsaw
2201,5,voidmemories,India,11380,2097,2097,80,14,20200713 150000,KLE Technological UniversityVidya NagarHubballiKarnataka
2201,5,ritulkrsingh,India,11380,2097,2097,74,6,20200824 001500,Delhi Public School Bokaro
2201,5,vb301296,India,11380,2097,2097,51,5,20170417 150000,MediaNet
2201,5,aman3245,India,11380,2097,2097,79,17,20200627 223000,Indian Institute of Technology Guwahati
2201,5,maheiitr,India,11380,2097,2154,169,5,20150316 150000,Indian Institute of Technology Roorkee
2215,5,oshhh,India,11490,2096,2221,144,19,20190923 000000,Indraprastha Institute of Information TechnologyDelhi
2215,5,keshavreddy,India,11490,2096,2148,163,11,20170417 150000,Sri Sivasubramaniya Nadar College of EngineeringChennai
2215,5,prashrebala,India,11490,2096,2096,46,3,20171211 150000,Manipal Institute of TechnologyManipal
2215,5,enkognit5,Belarus,240,2096,2096,49,4,20200720 000000,Club of Young FirefightersMozyr
2215,5,dvyn01,India,11490,2096,2252,480,32,20200824 001500,Birla Institute of Technology Mesra
2215,5,linnil1,Taiwan,210,2096,2096,24,2,20150720 000000,National Tainan Second Senior High School
2215,5,rahulgrover99,India,11490,2096,2096,132,8,20190114 150000,Indian Institute of Technology Patna
2215,5,parthsangani00,India,11490,2096,2096,43,15,20200725 223000,Indian Institute of Technology Bombay
2215,5,devansh11,India,11490,2096,2115,64,25,20200725 223000,Indian Institute of Technology Bhilai
2215,5,alokpatra1998,India,11490,2096,2096,65,5,20181027 223000,Indian Institute of Technology Dhanbad
2215,5,druh,Netherlands,60,2096,2110,169,24,20200125 223000,
2215,5,isdapro,India,11490,2096,2096,71,18,20200217 150000,Indian Institute of Technology Roorkee
2215,5,grenade,India,11490,2096,2163,134,16,20190325 000000,Motilal Nehru National Institute of Technology Allahabad
2230,5,alphaq1611,India,11590,2095,2095,53,10,20200713 150000,Indian Institute of Technology BHU
2230,5,shreyans625,India,11590,2095,2095,42,3,20190213 150000,Delhi Technological University
2230,5,arkanitd,India,11590,2095,2125,130,15,20171023 000000,National Institute of TechnologyDurgapur
2230,5,cenation092,India,11590,2095,2095,334,44,20200817 150000,University Institute of Engineering and Technology Kanpur
2230,5,shivam2298,India,11590,2095,2095,151,16,20200716 001500,Delhi Technological University
2230,5,bustyasians,India,11590,2095,2095,65,2,20150615 150000,Indian Institute of Technology Kanpur
2230,5,milan1999,India,11590,2095,2095,156,12,20190213 150000,National Institute of TechnologyDurgapur
2230,5,amitkr100,India,11590,2095,2095,146,13,20200817 150000,Meghnad Saha Institute of TechnologyKolkata
2230,5,megaracer,Bangladesh,500,2095,2259,94,4,20181020 150000,Bangladesh University of Engineering and Technology
2230,5,raghav19,India,11590,2095,2241,114,11,20200824 001500,Motilal Nehru National Institute of Technology Allahabad
2230,5,vipsharmavip,India,11590,2095,2352,830,103,20200113 150000,Amazon Development CenterBangaloreIndia
2230,5,fortin,Russia,870,2095,2095,14,0,20200622 000000,Penza State University
2230,5,theegalalokesh,India,11590,2095,2176,169,32,20200829 223000,Indian Institute of Technology Roorkee
2230,5,boxer2012,Peru,100,2095,2095,163,6,20150921 000000,Universidad Nacional de Ingenier
2230,5,lakshaynasa,India,11590,2095,2095,163,20,20200720 000000,Netaji Subhas University Of Technology
2230,5,mohamedahmed04,Egypt,130,2095,2095,49,13,20191015 180000,Talaat Harb official Language School
2230,5,baalhammon,Tunisia,20,2095,2095,16,8,20160430 224000,Pioneer School of Ariana
2247,5,c007,India,11710,2094,2104,40,3,20200323 000000,Indian Institute of Technology Kharagpur
2247,5,gaurav2,India,11710,2094,2094,87,25,20200817 150000,Indraprastha Institute of Information TechnologyDelhi
2247,5,hokagenaruto,India,11710,2094,2221,190,9,20180312 150000,International Institute of Information TechnologyHyderabad
2247,5,kovidsunny,India,11710,2094,2170,78,17,20200713 150000,VNR Vignana Jyothi Institute of Engineering and Technology
2247,5,leanil,Hungary,190,2094,2259,124,19,20200113 150000,E
2247,5,goutham74,India,11710,2094,2094,23,2,20160111 150000,Amazon Development CenterChennai
2247,5,utsavdeep,Singapore,70,2094,2105,414,10,20200125 223000,CirclesLife
2247,5,dratini,India,11710,2094,2094,37,1,20190422 000000,National Institute of Technology Tiruchirappalli
2247,5,abhinav1996,India,11710,2094,2094,72,1,20170918 000000,International Institute of Information TechnologyHyderabad
2247,5,aneee004,India,11710,2094,2094,64,7,20200713 150000,Indian Institute of TechnologyHyderabad
2247,5,ninjaboy,India,11710,2094,2094,42,1,20200114 003000,International Institute of Information TechnologyBangalore
2247,5,singhsahil,India,11710,2094,2094,78,16,20200713 150000,JC Bose University Of Science And TechnologyYMCA
2247,5,shuternay,Russia,880,2094,2094,35,0,20140915 150000,Moscow Institute of Physics and Technology
2247,5,zhatabsaifi,India,11710,2094,2094,128,18,20200615 150000,GL Bajaj Institute of Technology and Management
2247,5,kamalch,India,11710,2094,2094,79,15,20200817 150000,Indian Institute of Technology Patna
2247,5,mahotsukai,Cambodia,10,2094,2144,34,1,20200229 223000,
2247,5,duffer,India,11710,2094,2097,44,4,20150615 150000,Adobe
2247,5,benjyman,United States,700,2094,2255,156,39,20200217 150000,Google
2247,5,vitaha,Ukraine,420,2094,2325,155,7,20200829 223000,
2267,5,ankittt2001,India,11840,2093,2093,42,7,20200413 173000,National Institute of TechnologyHamirpur
2267,5,sanchit1512,India,11840,2093,2167,155,5,20160919 000000,Indian Institute of Information TechnologyAllahabad
2267,5,hyp1231,China,1100,2093,2093,26,0,20190715 150000,Renmin University of China
2267,5,anmol21,India,11840,2093,2148,165,6,20171023 000000,Indian Institute of Technology Delhi
2267,5,sat123,India,11840,2093,2093,360,19,20171113 190000,Chitkara University
2267,5,mohitbhura,India,11840,2093,2119,186,36,20160615 150000,Indian Institute of Technology Kharagpur
2267,5,mrkhokho,Georgia,80,2093,2093,23,3,20190617 150000,V Komarovi N199 Public School
2267,5,ddddddpppppp,China,1100,2093,2093,29,2,20170313 150000,Sun Yatsen Memorial Middle School
2267,5,pawank29,India,11840,2093,2228,161,42,20200725 223000,Indian Institute of Technology Bhilai
2267,5,alfarhanzahedi,India,11840,2093,2093,266,22,20200113 150000,Heritage Institute of TechnologyKolkata
2267,5,alexeykasatkin,Canada,240,2093,2315,145,33,20190715 150000,qwerty
2267,5,shivam5285,India,11840,2093,2093,47,6,20200113 150000,Indian Institute of Technology Bhilai
2267,5,return19,India,11840,2093,2151,83,28,20160725 000000,National Institute of TechnologyKurukshetra
2267,5,alico,Iran,210,2093,2093,25,0,20180319 000000,Shahid Sadoughi High SchoolYazd
2267,5,vok8,India,11840,2093,2163,269,26,20200817 150000,Pandit Deendayal Petroleum UniversityGandhinagar
2267,5,blackgoku,India,11840,2093,2093,34,2,20200725 223000,Netaji Subhas University Of Technology
2267,5,akshat98,India,11840,2093,2093,114,22,20190513 150000,Indian Institute of Information TechnologyKota
2284,5,time2new,India,11960,2092,2092,80,2,20200427 233000,Dhirubhai Ambani Institute of Information and Communication TechnologyGandhinagar
2284,5,harsh639,India,11960,2092,2092,213,13,20200427 233000,Indian Institute of Technology Kharagpur
2284,5,hacker555,India,11960,2092,2092,62,5,20200716 001500,
2284,5,oiwai,India,11960,2092,2092,34,10,20200713 150000,Delhi Technological University
2284,5,squidward,India,11960,2092,2114,49,9,20200716 001500,Delhi Technological University
2284,5,ekansh573,India,11960,2092,2092,54,19,20200627 223000,Referencia Laboratorio Cl
2284,5,beginhs,India,11960,2092,2191,306,36,20171028 223000,National Institute of Technology Warangal
2284,5,adarshkr532,India,11960,2092,2173,165,18,20190114 150000,Indian Institute of Technology Roorkee
2292,5,naks,India,12040,2091,2091,40,12,20190114 150000,Indian Institute of Information TechnologyAllahabad
2292,5,herambpatil98,India,12040,2091,2141,170,31,20190812 150000,College of EngineeringPune
2292,5,iprakhar22,India,12040,2091,2091,238,17,20200113 150000,Jaypee Institute of Information Technology
2292,5,pparwal12,India,12040,2091,2233,338,31,20180115 150000,Motilal Nehru National Institute of Technology Allahabad
2292,5,mdazmat9,India,12040,2091,2091,110,11,20200824 001500,Indian Institute of Engineering Science and TechnologyShibpur
2292,5,abhi10001k,India,12040,2091,2091,221,14,20190415 150000,Lovely Professional University
2292,5,harshyd,India,12040,2091,2091,66,9,20200413 173000,Netaji Subhas University Of Technology
2292,5,bhargava15598,India,12040,2091,2091,31,4,20180924 000000,Indian Institute of Technology Madras
2292,5,sugardorj3,Mongolia,40,2091,2091,63,4,20180813 150000,Erkhet erdem
2292,5,pratham10,India,12040,2091,2091,41,7,20200511 150000,Veermata Jijabai Technological InstituteMumbai
2292,5,sexoffender,India,12040,2091,2091,42,3,20200829 223000,Birla Institute of Technology  Science PilaniHyderabad Campus
2292,5,sabishek,India,12040,2091,2091,92,11,20200530 223000,Indian Institute of Technology Madras
2292,5,alltoowell,Spain,40,2091,2091,68,11,20200226 000000,
2292,5,crazy1234,India,12040,2091,2091,219,14,20200323 000000,Indian Institute of Information TechnologyAllahabad
2292,5,rohanagarwal,India,12040,2091,2091,111,7,20150914 150000,Kamla Nehru Institute of Technology
2292,5,kcalm062,India,12040,2091,2091,20,0,20200817 150000,
2292,5,undercover123,India,12040,2091,2091,433,75,20200829 223000,National Institute of TechnologyKurukshetra
2292,5,infoshoc,Israel,40,2091,2183,36,8,20200217 150000,Technion
2312,5,sakshjha2000,India,12190,2090,2190,86,7,20200829 223000,Indian Institute of Technology Patna
2312,5,ridslk22,Bangladesh,510,2090,2159,95,26,20200622 000000,Bangladesh University of Engineering and Technology
2312,5,asadullo,Uzbekistan,10,2090,2232,74,21,20200817 150000,Tashkent University of Information Technologies
2312,5,rishiilluri3,India,12190,2090,2090,88,12,20200713 150000,Maulana Azad National Institute of TechnologyBhopal
2312,5,naveenkrnl,India,12190,2090,2090,50,4,20200817 150000,GeeksforGeeks
2312,5,danthespaceman,Philippines,60,2090,2090,80,5,20200713 150000,Colegio San Agustin
2312,5,shpvb,India,12190,2090,2174,84,3,20200323 000000,Birla Institute of Technology and Science
2312,5,hellojarvis,India,12190,2090,2090,76,6,20200713 150000,Indian Institute of Technology BHU
2312,5,gabilash,India,12190,2090,2090,161,13,20200323 000000,Nutanix Technologies India Pvt Ltd
2312,5,oculto,India,12190,2090,2101,87,9,20170118 150000,Jamia Millia Islamia
2312,5,pr3pony,Taiwan,220,2090,2090,22,2,20191111 150000,National Taiwan University
2312,5,raghumdani,India,12190,2090,2240,261,30,20170717 150000,National Institute of Technology Karnataka
2312,5,adityakumar007,India,12190,2090,2090,69,12,20200725 223000,Indian Institute of Technology Roorkee
2312,5,ritikancoder,India,12190,2090,2090,33,0,20180122 000000,Self Employed
2312,5,jainadit67,India,12190,2090,2090,105,12,20200229 223000,National Institute of Technology Tiruchirappalli
2330,5,wandan23,India,12300,2089,2089,88,17,20200725 223000,Birla Institute of Technology  Science PilaniGoa Campus
2330,5,csevirus,India,12300,2089,2089,153,27,20190114 150000,Deenbandhu Chhotu Ram University of Science and TechnologyMurthal
2330,5,ladpro98,Vietnam,430,2089,2434,74,4,20180917 150000,Hanoi University of Science and TechnologyVietnam
2330,5,gautam99,India,12300,2089,2089,86,8,20180813 150000,Dhirubhai Ambani Institute of Information and Communication TechnologyGandhinagar
2330,5,cy1013,China,1120,2089,2089,61,6,20180115 150000,Changchun University of Science and Technology
2330,5,pk159,India,12300,2089,2089,50,14,20181020 150000,Jadavpur University
2330,5,aswinashok44,India,12300,2089,2089,216,13,20180312 150000,Amrita School of Engineering Amritapuri
2330,5,sauravchandra1,India,12300,2089,2089,41,20,20200217 150000,GAP IT Services India Private Ltd
2330,5,shivansh100,India,12300,2089,2089,131,5,20200413 173000,Indian Institute of Technology Roorkee
2330,5,vaibhav2303,India,12300,2089,2095,59,4,20190415 150000,International Institute of Information TechnologyHyderabad
2330,5,anujdhawan7,India,12300,2089,2089,89,6,20171028 223000,Indian Institute of Technology Delhi
2330,5,littleangel,India,12300,2089,2089,84,14,20200725 223000,Indian Institute of Technology Kharagpur
2330,5,aashrayagarwal,India,12300,2089,2170,289,36,20170417 150000,Birla Institute of Technology Mesra
2330,5,sumomaverick,India,12300,2089,2089,20,6,20180929 223000,Netaji Subhas University Of Technology
2330,5,soham1234,India,12300,2089,2349,242,31,20191021 000000,Jadavpur University
2345,5,iaz1607,Russia,890,2088,2088,29,1,20190520 000000,Saint Petersburg Electrotechnical UniversitySaint PetersburgRussia
2345,5,saksham08,India,12430,2088,2088,46,5,20160924 223000,Tower Research Capital
2345,5,anmolschauhan,India,12430,2088,2088,36,2,20200217 150000,International Institute of Information TechnologyHyderabad
2345,5,ssnitian,India,12430,2088,2192,216,20,20160321 000000,National Institute of Technology Warangal
2345,5,sholja,Bosnia and Herzegovina,10,2088,2240,52,14,20200425 224000,University of Sarajevo
2345,5,rohan03,India,12430,2088,2088,386,43,20200720 000000,Harcourt Butler Technical UniversityKanpur
2345,5,raman3217,India,12430,2088,2094,319,28,20200829 223000,Jaypee Institute of Information Technology
2345,5,brijeshpanara,India,12430,2088,2088,239,17,20200114 003000,Dhirubhai Ambani Institute of Information and Communication TechnologyGandhinagar
2345,5,swapnilagarwal,India,12430,2088,2227,233,23,20150222 140000,Meesho
2345,5,chillcoder,India,12430,2088,2088,50,4,20200725 223000,Indian Institute of Technology Delhi
2345,5,gskhirtladze,Georgia,90,2088,2296,161,12,20151012 150000,Information Technology Center Mziuri
